Host Name,Entire home/apts,Private rooms,Shared rooms,Hotel Rooms,Total Listings
Hudson,2,0,9,0,11
Grant,5,0,6,0,11
Vera,6,0,5,0,11
Virginia,5,0,6,0,11
Yves,7,0,4,0,11
Catalina,5,0,5,1,11
Kylie,1,0,10,0,11
Brady,3,0,8,0,11
JEMGs Hostel,0,0,6,5,11
Shelley,6,0,5,0,11
Latisha,1,0,10,0,11
Sunny,6,0,5,0,11
Conrad,5,0,6,0,11
Hotel Belleclaire,0,0,11,0,11
Regina,5,0,5,1,11
Lorna,7,0,2,2,11
Jan,6,0,5,0,11
Leonardo,7,0,4,0,11
Pablo,4,0,6,1,11
Ayana,6,0,5,0,11
Elisabeth,4,0,5,2,11
Lin,6,0,5,0,11
Milton,7,0,4,0,11
Cristian,7,0,4,0,11
Lucky,5,0,5,1,11
Billy,7,0,4,0,11
Tayron,1,0,10,0,11
Gabriela,8,0,3,0,11
Tracy,7,0,4,0,11
Charlene,3,0,8,0,11
Ozzy,1,0,10,0,11
Aicha,1,0,10,0,11
Anita,8,0,3,0,11
Suzanne,6,0,4,0,10
Liliana,2,0,8,0,10
Ronnie,5,0,5,0,10
Paige,4,0,6,0,10
Arlo SoHo,0,10,0,0,10
Dominique,8,0,2,0,10
Chaim,10,0,0,0,10
Kathleen,6,0,4,0,10
Lionel,1,0,9,0,10
Blue Angel Hotel,0,0,10,0,10
Roman,6,0,4,0,10
Daria,7,0,3,0,10
Arlo NoMad,0,10,0,0,10
Washington Jefferson Hotel,0,0,10,0,10
Jerry & Lynn,10,0,0,0,10
Bruno,7,0,3,0,10
Tammy,9,0,1,0,10
Elise,7,0,3,0,10
Julien,7,0,2,1,10
Carrie,5,0,4,1,10
Leon,8,0,2,0,10
Brett,8,0,2,0,10
Lakisha,1,0,9,0,10
Lakshmee,0,0,7,3,10
Kris,8,0,2,0,10
Vladimir,6,0,3,1,10
Emilie,6,0,4,0,10
Sally,5,0,5,0,10
Edgar,7,0,3,0,10
Mackenzie,6,0,4,0,10
Spencer,3,0,7,0,10
Tori,4,0,6,0,10
Jess,6,0,4,0,10
Paris,3,0,7,0,10
Eduard,10,0,0,0,10
Liza,5,0,5,0,10
Sveta,9,0,1,0,10
Incentra,0,0,10,0,10
Aracelis,3,0,7,0,10
Gus,2,0,8,0,10
Antoine,5,0,5,0,10
Marcia,6,0,4,0,10
Andris,10,0,0,0,10
Meg,6,0,3,1,10
Hudson River,0,0,10,0,10
Hotel 32 32,0,0,10,0,10
Allen,4,0,6,0,10
Marlene,4,0,6,0,10
Giovanni,6,0,4,0,10
House Lynk,2,0,8,0,10
Melody,5,0,4,1,10
Monika,8,0,2,0,10
Noah,2,0,8,0,10
Hector,3,0,7,0,10
Alexa,6,0,4,0,10
Alana,7,0,3,0,10
Marissa,6,0,4,0,10
Gerardo,4,0,6,0,10
Micah,9,0,1,0,10
Nichole,2,0,8,0,10
Mauricio,6,0,4,0,10
Masud,4,0,5,1,10
Genevieve,5,0,5,0,10
Masaaki,0,0,10,0,10
Mauricio Mateo,4,0,6,0,10
Gustavo,4,0,6,0,10
Lucia,5,0,4,0,9
Fatima,5,0,3,1,9
Akiko & Cindy,0,0,8,1,9
Tj,2,0,7,0,9
Paolo,2,0,7,0,9
Kareem,8,0,1,0,9
Nat,7,0,2,0,9
Rachael,8,0,1,0,9
Ioannis,2,0,7,0,9
Sammy,5,0,4,0,9
Kerry,8,0,1,0,9
Akiko,2,0,4,3,9
Luis Enrique,0,0,9,0,9
Karim,5,0,4,0,9
Ociel,1,0,8,0,9
Nadine,7,0,2,0,9
Wanly,9,0,0,0,9
Claudio,2,0,7,0,9
Daisy,4,0,5,0,9
Marian,5,0,4,0,9
Mabel,0,0,9,0,9
Rogelia Jelyn,9,0,0,0,9
Agnes,5,0,4,0,9
Cory,6,0,3,0,9
The Wall Street Inn,0,1,8,0,9
Colleen,8,0,1,0,9
Outsite,1,0,8,0,9
Gal,6,0,3,0,9
Meredith,8,0,1,0,9
Ruben,6,0,3,0,9
Sheldon,4,0,5,0,9
Shelby,4,0,5,0,9
Pat,7,0,2,0,9
Aminul,0,0,9,0,9
Maura,4,0,5,0,9
Blanca,8,0,1,0,9
Ross,4,0,5,0,9
Rumena,4,0,5,0,9
Herman,3,0,6,0,9
Carlene,3,0,6,0,9
Rosario,7,0,2,0,9
Ty,2,0,7,0,9
Liqin,0,0,9,0,9
Phil,4,0,5,0,9
Troy,3,0,6,0,9
Rony,6,0,3,0,9
Celine,6,0,3,0,9
